Pays,Notes_musees,NbVotes_musees_clean,Nb_prixNobel,Annee_souverainete,Nb_univTop500,Rang,Political regime,immigrationByCountry_immigrants,immigrationByCountry_emigrants,Primary,Lower secondary,Break 1,Break 2,Break 3,Break 4,Break 5,End of the school year break
Cameroon,"['4.0', '4.0', '3.9', '4.0', '4.6', '4.0', '4.1', '4.1', '3.9', '4.3', '4.1', '3.6', '4.0', '4.3', '3.8', '4.2', '1.0', '3.5', '4.8', '3.7', '3.6', '4.5', '5.0']","[1000.0, 525.0, 79.0, 24.0, 13.0, 286.0, 105.0, 149.0, 229.0, 9.0, 117.0, 39.0, 4.0, 536.0, 41.0, 5.0, 1.0, 2.0, 4.0, 3.0, 69.0, 2.0, 2.0]",0.0,1960.0,0.0,,1.0,579209.0,441015.0,,,,,,,,
Canada,"['4.6', '4.7', '4.6', '4.7', '4.7', '4.7', '4.6', '4.6', '4.7', '4.7', '4.8', '4.6', '4.7', '4.7', '4.7', '4.6', '4.7', '4.5', '4.5', '4.6', '4.6', '4.7', '4.7', '4.4', '4.6', '4.6', '4.6']","[11000.0, 8000.0, 4000.0, 34000.0, 11000.0, 8000.0, 2000.0, 9000.0, 5000.0, 1000.0, 12000.0, 6000.0, 2000.0, 16000.0, 14000.0, 7000.0, 5000.0, 6000.0, 5000.0, 2000.0, 2000.0, 3000.0, 2000.0, 14000.0, 4000.0, 4000.0, 1000.0]",27.0,1867.0,19.0,226.0,3.0,8049323.0,1292329.0,5531.0,2774.0,,,,,,
Cape Verde,"['4,8', '4,3', '4,0', '5,0', '4,3', '4,5', '4,2', '4,1', '4,3', '4,3', '3,0', '4,4', '4,0']","[147.0, 4.0, 117.0, 20.0, 48.0, 115.0, 41.0, 8.0, 84.0, 31.0, 4.0, 45.0, 85.0]",0.0,,0.0,,2.0,15788.0,187558.0,,,,,,,,
Cayman Islands,"['4.5', '4.6']","[232.0, 130.0]",0.0,,0.0,,,29242.0,1908.0,,,,,,,,
Central African Republic,"['4,8']",[5.0],0.0,1958.0,0.0,,1.0,88546.0,816668.0,,,,,,,,
Chad,"['4,2']",[130.0],0.0,1960.0,0.0,,1.0,547494.0,222303.0,,,,,,,,
Chile,"['4,7', '4,7', '4,6', '4,7', '4,6', '4,6', '4,7', '4,8', '4,5', '4,7', '4,6', '4,5', '4,7', '4,6', '4,6', '4,7', '4,4', '4,3', '4,5', '4,7', '4,8', '4,7', '4,8', '4,5', '4,6', '4,7', '4,5']","[12000.0, 11000.0, 13000.0, 17000.0, 4000.0, 15000.0, 8000.0, 3000.0, 1000.0, 5000.0, 3000.0, 795.0, 7000.0, 3000.0, 1000.0, 4000.0, 9000.0, 251.0, 5000.0, 3000.0, 1000.0, 2000.0, 1000.0, 985.0, 1000.0, 1000.0, 611.0]",2.0,1818.0,3.0,224.0,2.0,1645015.0,643800.0,6165.0,2132.0,,,,,,
China,"['4.3', '4.4', '4.6', '4.5', '4.3', '4.4', '4.6', '4.6', '4.3', '4.4', '4.3', '4.3', '4.2', '4.4', '4.4', '4.5', '4.3', '4.4', '4.3', '4.4', '4.2', '4.6', '4.1', '4.3', '4.4', '4.0']","[398.0, 925.0, 1000.0, 236.0, 154.0, 451.0, 38.0, 3551.0, 156.0, 14.0, 326.0, 455.0, 221.0, 573.0, 316.0, 82.0, 282.0, 37.0, 1149.0, 151.0, 1528.0, 101.0, 148.0, 6812.0, 7622.0, 610.0]",8.0,1368.0,29.0,289.0,0.0,1039675.0,10461170.0,,,,,,,,
Colombia,"['4,7', '4,8', '4,8', '4,6', '4,7', '4,2', '3,9', '4,7', '4,7', '4,7', '4,7', '4,6', '4,7', '4,6', '4,8', '4,6', '3,8', '4,5', '4,7', '4,7', '4,7', '4,8', '4,6', '4,6', '4,7', '4,5', '4,6']","[29000.0, 41000.0, 20000.0, 1000.0, 8000.0, 3000.0, 2000.0, 4000.0, 8000.0, 2000.0, 13000.0, 12000.0, 727.0, 5000.0, 1000.0, 4000.0, 61.0, 767.0, 2000.0, 1000.0, 2000.0, 1000.0, 685.0, 4000.0, 2000.0, 3000.0, 1000.0]",2.0,1810.0,3.0,257.0,2.0,1905393.0,3024273.0,5000.0,4800.0,1.0,3.0,1.0,,,7.2
Comoros,['4.5'],[12.0],0.0,1975.0,0.0,,1.0,12496.0,150823.0,,,,,,,,
Congo,"['4,1', '4,2', '4,4', '3,7', '4,3', '4,6']","[230.0, 1000.0, 9.0, 3.0, 87.0, 38.0]",1.0,1960.0,0.0,,1.0,952871.0,1832069.0,,,,,,,,
Congo,"['4,1', '4,2', '4,4', '3,7', '4,3', '4,6']","[230.0, 1000.0, 9.0, 3.0, 87.0, 38.0]",1.0,1884.0,0.0,,1.0,952871.0,1832069.0,,,,,,,,
Cook Islands,"['4.5', '4.8', '4.0', '4.4']","[103.0, 9.0, 32.0, 42.0]",0.0,,0.0,,,4579.0,21106.0,,,,,,,,
Costa Rica,"['4,7', '4,7', '4,7', '4,7', '4,7', '4,4', '4,6', '4,7', '4,7', '4,5', '4,6', '4,6', '4,5', '4,6', '4,5', '4,8', '4,7', '4,3', '4,7', '4,7', '4,6', '4,1', '4,7', '4,7', '4,7', '4,5']","[7000.0, 3000.0, 2000.0, 2000.0, 1000.0, 406.0, 7000.0, 949.0, 605.0, 44.0, 447.0, 3000.0, 49.0, 694.0, 531.0, 51.0, 101.0, 55.0, 129.0, 121.0, 779.0, 164.0, 13.0, 2000.0, 187.0, 50.0]",1.0,1821.0,0.0,,3.0,520729.0,150241.0,6880.0,3360.0,1.2,2.0,,,,7.6
Croatia,"['4,4', '4,7', '4,6', '4,8', '4,7', '4,5', '4,5', '4,8', '4,6', '4,3', '4,6', '4,8', '4,3', '4,5', '5,0', '4,8', '4,1', '4,5', '4,6', '4,7', '4,8', '4,3', '4,5', '4,8', '4,2', '4,7', '3,9']","[6000.0, 838.0, 1000.0, 1000.0, 1000.0, 466.0, 1000.0, 61.0, 6000.0, 96.0, 401.0, 9000.0, 7000.0, 2000.0, 68.0, 156.0, 2000.0, 2.0, 2000.0, 221.0, 738.0, 221.0, 481.0, 456.0, 1000.0, 501.0, 1000.0]",3.0,1991.0,0.0,,2.0,528056.0,1039526.0,1890.0,2651.0,2.0,1.0,1.4,,,10.4
Cuba,"['4.5', '4.3', '4.1', '4.7', '4.7', '4.3', '4.5', '4.2', '4.2', '4.3', '4.1', '4.8', '3.8', '4.6', '4.5', '4.5', '4.4', '4.6', '5.0', '4.5', '4.7', '5.0', '4.3', '4.2', '4.4', '2.5']","[512.0, 877.0, 32.0, 17.0, 64.0, 67.0, 582.0, 91.0, 47.0, 51.0, 40.0, 19.0, 22.0, 190.0, 99.0, 364.0, 5.0, 499.0, 2.0, 15.0, 3.0, 1.0, 7.0, 49.0, 17.0, 2.0]",0.0,1898.0,0.0,,0.0,3024.0,1757300.0,,,,,,,,
