Country,Notes_Musees,Nbvotes_Musees_Clean,Nb_Prixnobel,Annee_Souverainete,Nb_Univtop500,Mean_Rank_Univ,Political_Regime,Immigrationbycountry_Immigrants,Immigrationbycountry_Emigrants,Primary,Lower_Secondary,Break_1,Break_2,Break_3,Break_4,Break_5,End_Of_The_School_Year_Break,Literacy_Rate_2021,Global_rank_Literacy_rate,Continent,Area,Nb_graduates,Population,Education_Spending_2021,Gdp,Averageiqbycountry_Iqlynnbecker2019,Averageiqbycountry_Sourcelynnbecker2019,Averageiq_Ici2017Grade,Averageiq_Ici2017Score,Averageiqpisa2022Meanscoremathematics,Averageiqpisa2022Meanscorereading,Averageiqpisa2022Meanscorescience,Gdp_Percapita,Indice_Evolution,Nb_Foreign_Students
Georgia,4.530769230769231,1065.0,0.0,1991.0,0.0,,2.0,79368.0,861077.0,,,,,,,,,,,asia,,,3712502.0,3.64,18629365612.096,84.5,E,C,31.5,,,,5018.008235981018,152.0608556357884,
Germany,4.57037037037037,21116.85185185185,115.0,962.0,30.0,278.0,3.0,15762457.0,3855268.0,2896.0,4480.0,1.0,1.4,1.2,,,6.0,,,europe,357581.0,489703.0,83797985.0,4.53,4278503934689.85,100.74,T,A,64.2,,,,51057.3605640977,48.07661070065696,10.106
Ghana,4.22,547.6,1.0,1957.0,0.0,,3.0,476412.0,1004324.0,,,,,,,,,,,africa,238537.0,,33475870.0,3.42,79524421861.2743,58.16,T,D,17.4,475.0,472.0,484.0,2375.5744618817766,35.45633525196681,
Greece,4.659259259259259,6808.481481481482,2.0,1822.0,2.0,396.0,2.0,1340456.0,1088507.0,4483.0,2433.0,2.0,2.8,,,,12.2,,,europe,131957.0,46149.0,10426919.0,4.06,214667807441.202,90.77,T,B-,40.1,552.0,510.0,543.0,20587.84646175941,101.920031988908,3.499
Greenland,4.323529411764706,52.294117647058826,0.0,,0.0,,,5899.0,17866.0,,,,,,,,,,,north-america,2166086.0,,56661.0,,3235809504.29871,98.89,T,,,,,,57108.2314872436,,
Grenada,4.25,49.25,0.0,,0.0,,,7213.0,62204.0,,,,,,,,,,,north-america,345.0,,125438.0,4.09,1122800000.0,79.34,E,,,,,,8951.035571357961,,
Guatemala,4.5249999999999995,518.85,2.0,1821.0,0.0,,2.0,84311.0,1368431.0,,,,,,,,,,,north-america,108889.0,,17357886.0,3.11,86053083476.0294,47.72,T,D+,22.8,409.0,388.0,416.0,4957.578559741054,24.421569259808148,
Guinea,4.466666666666667,38.666666666666664,0.0,1958.0,0.0,,1.0,121437.0,550790.0,,,,,,,,,45.33,38.0,africa,28051.0,,13859341.0,2.04,16091817842.1318,53.48,E,D-,6.8,,,,1161.081024136126,17.59213672933524,
Guyana,4.55,61.75,0.0,1966.0,0.0,,2.0,31169.0,438413.0,,,,,,,,,,,south-america,214969.0,,808726.0,,8041362110.31175,83.23,E,,,466.0,445.0,466.0,9943.246674784476,171.43528749628405,
Haiti,3.8428571428571425,140.57142857142858,0.0,1804.0,0.0,,1.0,18884.0,1769671.0,,,,,,,,,,,north-america,27750.0,,11584996.0,1.84,20877414952.6375,82.1,T,,,,,,1802.108084684492,8.191400384929509,
Honduras,4.552941176470589,425.70588235294116,0.0,1821.0,0.0,,1.0,39195.0,985077.0,,,,,,,,,,,north-america,112492.0,,10432860.0,5.81,28488721680.8502,62.16,E,D+,20.2,,,,2730.6722874504403,13.451587622908573,
Hong Kong,4.138461538461538,1841.1153846153845,1.0,,5.0,99.0,0.0,2962491.0,1007788.0,,,,,,,,,,,asia,1114.0,,7346100.0,4.0,368911387845.418,105.37,T,B+,51.2,395.0,415.0,410.0,50218.67219959136,,
Hungary,4.544444444444444,3538.6666666666665,15.0,1991.0,0.0,,1.0,584567.0,714420.0,2718.0,3212.0,2.4,0.8,,,,10.8,99.1,12.0,europe,93025.0,58754.0,9643048.0,5.0,182090041757.269,99.24,T,B,50.0,414.0,411.0,417.0,18883.037993512942,572.2132725306953,12.605
Iceland,4.444444444444445,1291.148148148148,1.0,1944.0,0.0,,3.0,65424.0,43251.0,5100.0,2516.0,1.6,1.2,,,,10.0,,,europe,103000.0,4005.0,382003.0,7.73,25595940169.5879,98.26,T,B+,52.0,425.0,378.0,412.0,67004.55276421363,837.5569095526704,8.449
India,4.4407407407407415,24853.74074074074,10.0,1947.0,11.0,311.0,1.0,4878704.0,17869492.0,,,,,,,,,,,asia,3287263.0,,1417173173.0,4.64,3150306839142.13,76.24,T,C-,29.4,406.0,405.0,403.0,2222.9512237190297,28.86949641193545,
Indonesia,4.500000000000001,12485.74074074074,0.0,1945.0,5.0,323.0,2.0,355505.0,4601369.0,,,,,,,,,,,asia,1904569.0,,275501339.0,3.05,1186505455736.54,78.49,T,D+,23.7,365.0,339.0,365.0,4306.713934833326,54.51536626371298,
Iran,4.48076923076923,849.3076923076923,2.0,1477.0,4.0,380.0,1.0,2797235.0,1325113.0,,,,,,,,,,,asia,1648195.0,,88550570.0,,359096907772.985,80.01,T,C-,25.5,,,,4055.274943718431,7.413665345006272,
Iraq,4.257894736842105,371.2631578947368,1.0,1932.0,0.0,,1.0,365766.0,2077976.0,,,,,,,,,,,asia,438317.0,,44496122.0,,207691599310.345,89.28,T,,,,,,4667.6337167168185,50.73514909474802,
Ireland,0.0,0.0,11.0,1919.0,6.0,282.0,3.0,871256.0,734317.0,5415.0,2755.0,1.0,2.0,2.2,,,8.8,,,europe,,45015.0,5127170.0,2.98,513391778882.86,95.13,T,B+,53.6,,,,100131.60844732278,953.6343661649788,10.715
Israel,4.505,3159.7,13.0,1948.0,4.0,332.0,3.0,1953575.0,358691.0,5511.0,2929.0,,,,,,,,,asia,21937.0,,9557500.0,7.42,488526545878.891,92.43,T,B+,50.1,493.0,459.0,488.0,51114.46988008276,672.5588142116153,2.985
Italy,4.640740740740741,28746.85185185185,21.0,1945.0,14.0,317.0,3.0,6386998.0,3258831.0,4521.0,2970.0,2.0,0.8,,,,13.0,,,europe,302068.0,372383.0,58940425.0,4.13,2155360298998.03,94.23,T,B,48.0,479.0,501.0,504.0,36568.45533431478,462.8918396748706,2.831
Ivory Coast,4.0,395.4,0.0,1958.0,0.0,,,2564857.0,1149298.0,,,,,,,,,,,africa,322462.0,,28160542.0,3.37,71811075955.078,58.16,E,,,,,,2550.0601499459067,38.637274999180406,
Jamaica,4.374074074074074,392.6666666666667,0.0,1962.0,0.0,,3.0,23629.0,1118931.0,,,,,,,,,,,north-america,10991.0,,2827377.0,5.63,14657586127.0331,75.08,T,C-,26.7,,,,5184.164024476785,83.61554878188363,
Japan,4.4,2502.259259259259,29.0,1952.0,15.0,236.0,3.0,2770996.0,808825.0,4669.0,2669.0,,,,,,,,,asia,377915.0,678244.0,125124989.0,3.32,5034620784584.98,106.48,T,A-,58.9,389.0,359.0,380.0,40236.73308442793,558.843515061499,5.238
Jordan,4.444444444444444,1863.5185185185185,0.0,1946.0,0.0,,0.0,3457691.0,814909.0,,,,,,,,,98.42,17.0,asia,89318.0,,11285869.0,3.22,46296100140.8451,80.7,T,C-,26.0,468.0,477.0,478.0,4102.129852902342,52.59140837054285,
Kazakhstan,4.531578947368422,735.8421052631579,0.0,1991.0,3.0,355.0,1.0,3732073.0,4203899.0,,,,,,,,,,,asia,2724910.0,,19621972.0,4.39,197112255360.612,88.89,T,C+,35.1,,,,10045.486527073426,304.4086826385887,
Kenya,0.0,0.0,1.0,1963.0,0.0,,1.0,1050147.0,535348.0,,,,,,,,,,,africa,580367.0,,54027487.0,4.59,109703658904.994,75.2,T,D,19.3,,,,2030.5156689037565,33.28714211317634,
Kiribati,4.0,1.0,0.0,1979.0,0.0,,,3126.0,5103.0,,,,,,,,,,,oceania,811.0,,131232.0,15.59,227610079.145208,83.96,E,,,366.0,349.0,369.0,1734.40989351079,38.54244207801756,
Kuwait,4.308333333333334,1068.3333333333333,0.0,1991.0,0.0,,1.0,3110159.0,212271.0,,,,,,,,,,,asia,17818.0,,4268873.0,,137384258875.558,78.64,T,C-,29.8,338.0,373.0,368.0,32182.793649648986,975.2361712014844,
Kyrgyzstan,0.0,0.0,0.0,,0.0,,1.0,199011.0,774377.0,,,,,,,,,,,asia,199949.0,,,6.53,9371000.0,79.09,T,C-,27.2,391.0,408.0,408.0,,,
Laos,0.0,0.0,0.0,1949.0,0.0,,0.0,48731.0,1296051.0,,,,,,,,,,,asia,236800.0,,7529475.0,1.86,18827148528.9934,80.99,T,D,18.8,355.0,347.0,356.0,2500.459664052726,33.33946218736968,
Latvia,4.5592592592592585,2100.703703703704,1.0,1918.0,0.0,,3.0,239422.0,380010.0,3506.0,2334.0,1.0,2.0,1.0,,,13.2,99.89,4.0,europe,64594.0,,1879383.0,5.7,39443126174.4335,94.79,T,B,45.8,489.0,489.0,499.0,20987.274107743608,197.99315195984536,10.429
Lebanon,4.518518518518518,311.22222222222223,1.0,1941.0,1.0,226.0,1.0,1712762.0,856814.0,,,,,,,,,,,asia,10452.0,,5489739.0,,23131941556.7843,81.7,T,D,19.8,472.0,477.0,484.0,4213.668729384822,50.767093125118336,
Lesotho,4.0,10.8,0.0,1966.0,0.0,,2.0,12060.0,202164.0,,,,,,,,,,,africa,30355.0,,2305825.0,7.51,2348771013.21241,68.87,E,D,16.1,414.0,419.0,432.0,1018.625009795804,17.562500168893173,
Liberia,4.1,102.0,2.0,1847.0,0.0,,2.0,87947.0,233564.0,,,,,,,,,,,africa,111369.0,,5302681.0,2.53,3509000000.0,45.07,E,,,428.0,428.0,428.0,661.740730773735,3.73864819646178,
Libya,0.0,0.0,0.0,1951.0,0.0,,0.0,826537.0,185518.0,,,,,,,,,,,africa,1759540.0,,6812341.0,,39798423941.0335,80.92,T,,,,,,5842.106838314979,80.02886079883532,
